No	k_macropore_multp	k_soil_multp	theta_sat_multp	aquiferBaseflowExp_multp	aquiferBaseflowRate_multp	qSurfScale_multp	summerLAI_multp	frozenPrecipMultip_multp	routingGammaScale_multp	routingGammaShape_multp	Fcapil_multp	thickness_multp	-KGE
76	8.37E+01	4.67E+00	1.25E+00	2.24E+00	3.67E-01	4.26E-01	3.08E+00	6.24E-01	4.40E+00	8.33E-01	9.80E-01	1.20E+00	2.43E-01
77	8.81E+01	1.36E+00	9.64E-01	3.21E+00	4.67E+00	5.44E-01	2.18E+00	1.25E+00	4.96E+00	9.25E-01	7.70E-01	3.32E+00	-4.54E-01
78	3.01E+01	1.50E+00	9.85E-01	2.71E+00	5.74E+01	1.65E+00	1.63E+00	8.07E-01	1.28E+00	8.39E-01	2.87E-01	1.81E+00	-4.56E-01
79	4.17E+01	5.81E+00	1.40E+00	1.68E+00	2.17E+01	1.62E+00	4.62E-01	5.97E-01	9.92E+00	9.37E-01	1.22E+00	3.33E-01	2.08E-01
80	6.03E+01	6.80E+00	1.01E+00	3.75E+00	4.48E+00	7.18E-01	3.21E+00	9.62E-01	1.69E+00	1.12E+00	1.25E+00	2.81E+00	-5.51E-02
81	6.14E+01	6.18E+00	1.15E+00	3.22E+00	2.04E+01	3.67E-01	2.15E+00	1.31E+00	5.33E+00	9.72E-01	1.53E+00	1.47E+00	-1.90E-01
82	6.21E+01	3.31E+00	9.35E-01	5.53E-01	2.38E+01	1.25E+00	3.26E+00	1.34E+00	5.74E+00	9.00E-01	1.01E+00	4.55E+00	-6.34E-01
83	6.02E+01	3.81E+00	8.77E-01	3.93E+00	3.31E+01	1.60E+00	4.68E-01	1.44E+00	6.64E+00	1.05E+00	9.91E-01	6.38E+00	-3.01E-01
84	7.89E+01	1.45E+00	1.28E+00	1.93E+00	6.25E+01	1.18E+00	1.71E+00	7.45E-01	5.35E-01	1.07E+00	5.52E-01	2.12E+00	-2.03E-01
85	2.95E+01	1.73E+00	9.09E-01	4.39E+00	4.83E+01	1.38E+00	1.60E+00	5.85E-01	2.22E+00	1.02E+00	1.44E+00	4.03E+00	1.13E-01
86	3.55E+01	7.08E+00	1.16E+00	5.73E-01	6.02E+01	9.62E-02	2.94E+00	8.91E-01	2.40E+00	1.02E+00	1.23E+00	6.32E+00	-5.45E-01
87	1.45E+01	1.63E+00	8.94E-01	1.35E+00	8.93E+01	7.31E-01	1.57E+00	6.88E-01	5.97E+00	1.04E+00	2.46E-01	6.13E-01	-6.97E-01
88	2.82E+01	3.85E+00	9.35E-01	2.73E+00	8.77E+00	3.85E-02	1.38E-01	9.43E-01	9.97E+00	1.01E+00	8.56E-01	4.43E+00	8.25E-02
89	5.68E+01	2.49E+00	1.50E+00	4.10E+00	8.98E+01	1.40E+00	2.19E+00	5.43E-01	9.18E+00	1.10E+00	5.14E-01	5.98E+00	1.64E+00
90	1.18E+01	5.06E+00	1.50E+00	3.70E+00	2.98E+01	1.20E-01	2.63E+00	1.08E+00	5.87E+00	1.18E+00	2.82E-01	4.95E+00	-6.61E-02
91	2.40E+01	4.83E+00	1.40E+00	1.20E+00	4.29E+01	1.90E-01	3.22E+00	1.05E+00	7.91E+00	1.19E+00	5.53E-01	6.89E-01	-4.22E-01
92	1.56E+00	3.94E-01	1.28E+00	3.19E+00	9.95E+01	1.49E+00	8.97E-01	1.45E+00	8.63E+00	9.53E-01	1.53E+00	3.77E+00	-4.23E-01
93	8.11E+01	1.66E+00	1.30E+00	7.97E-01	9.64E+01	1.58E+00	1.53E+00	1.30E+00	4.40E+00	8.31E-01	4.48E-01	3.25E+00	-7.54E-01
94	9.06E+01	1.60E+00	1.26E+00	3.95E+00	5.97E+01	1.10E+00	9.21E-01	1.05E+00	1.55E-01	1.20E+00	7.95E-01	1.29E-01	-5.03E-01
95	7.34E+01	7.66E-01	9.98E-01	1.13E+00	6.30E+01	1.32E+00	3.25E+00	7.49E-01	3.31E-01	9.43E-01	1.15E+00	2.65E+00	-3.74E-01
96	9.98E+01	1.14E+00	1.30E+00	3.57E+00	3.12E+01	1.31E+00	1.21E+00	7.18E-01	8.66E+00	1.20E+00	1.65E+00	3.43E+00	5.15E-01
97	5.40E+01	1.93E+00	8.34E-01	2.96E+00	2.59E+01	8.76E-01	1.86E+00	1.49E+00	5.35E+00	1.12E+00	3.66E-01	1.23E+00	-1.51E-01
98	4.67E+01	8.40E-01	1.10E+00	2.71E+00	4.66E+01	1.48E-01	2.82E+00	9.63E-01	2.23E+00	1.02E+00	3.86E-01	3.91E+00	-5.21E-01
99	2.00E+01	3.69E+00	1.33E+00	7.93E-01	5.07E+01	1.47E+00	1.76E+00	5.48E-01	9.93E+00	1.02E+00	1.06E+00	1.90E+00	6.21E-01
100	9.72E+01	1.14E+00	9.91E-01	2.76E+00	9.61E+01	7.68E-01	2.21E+00	9.28E-01	4.91E+00	8.29E-01	1.54E+00	7.01E+00	-5.07E-01
101	3.55E+01	8.27E-01	1.25E+00	2.07E+00	6.46E+01	4.56E-01	2.00E+00	1.12E+00	3.77E+00	1.14E+00	3.47E-01	2.48E+00	-6.77E-01
102	2.83E+01	8.75E-01	1.21E+00	3.73E+00	1.95E+01	2.25E-01	2.92E+00	9.26E-01	9.64E+00	1.04E+00	1.35E+00	6.76E+00	-1.22E-01
103	2.23E+01	5.62E+00	1.34E+00	3.69E+00	8.54E+01	1.36E+00	2.20E+00	1.49E+00	4.49E+00	8.30E-01	6.78E-01	5.59E+00	-2.37E-01
104	1.35E+01	1.11E+00	9.76E-01	2.77E+00	9.91E+01	6.98E-01	2.79E+00	7.13E-01	1.34E+00	1.04E+00	1.55E+00	7.21E+00	-3.36E-01
105	2.76E+01	4.21E+00	1.48E+00	3.74E+00	6.59E+01	6.33E-01	1.59E+00	7.96E-01	5.33E+00	1.10E+00	1.74E-01	2.77E+00	3.92E-01
106	6.02E+01	2.15E+00	1.21E+00	3.02E+00	2.08E+01	2.48E-01	5.53E-01	8.42E-01	2.68E+00	9.55E-01	1.44E+00	1.89E+00	-3.57E-01
107	8.05E+01	4.89E+00	8.98E-01	9.60E-01	9.15E+01	1.33E+00	2.70E+00	1.23E+00	8.85E+00	1.00E+00	1.35E+00	6.26E+00	-5.37E-01
108	2.96E+01	1.84E+00	1.27E+00	3.79E+00	3.28E+01	1.68E+00	5.62E-01	1.11E+00	9.51E+00	1.09E+00	6.58E-01	1.12E+00	-3.25E-01
109	8.33E+01	1.51E+00	1.21E+00	4.08E+00	8.06E+01	7.34E-01	2.38E+00	1.11E+00	4.97E-01	1.13E+00	1.24E+00	7.03E+00	-3.84E-01
110	4.82E+01	3.79E+00	1.29E+00	2.15E+00	3.26E+00	9.55E-01	7.18E-01	8.29E-01	7.25E+00	1.15E+00	2.55E-01	4.17E-01	-9.46E-02
111	7.30E+01	5.03E+00	1.17E+00	2.85E+00	7.66E+01	8.52E-02	1.93E+00	7.30E-01	7.25E-01	8.81E-01	9.28E-01	2.10E+00	-2.47E-01
112	6.78E+01	1.90E+00	1.29E+00	2.49E+00	7.24E+00	2.65E-01	7.08E-01	1.34E+00	1.55E+00	9.07E-01	1.37E+00	1.46E+00	-2.91E-01
113	6.50E+01	4.40E+00	1.47E+00	1.02E+00	2.78E+01	1.38E+00	2.42E+00	1.46E+00	9.43E+00	9.64E-01	7.65E-01	1.64E-01	-1.07E-01
114	5.33E+01	4.41E+00	1.41E+00	3.56E+00	8.78E+01	1.33E+00	2.90E+00	1.33E+00	6.79E-01	8.33E-01	1.27E+00	6.76E+00	-3.87E-01
115	1.29E+01	1.78E+00	9.48E-01	4.73E+00	3.94E+01	2.54E-01	1.71E+00	5.44E-01	7.30E+00	9.84E-01	4.06E-01	9.05E-02	-2.08E-01
116	6.22E+01	2.76E+00	1.29E+00	3.56E+00	4.61E+01	8.44E-01	2.00E+00	1.09E+00	6.61E+00	1.11E+00	9.59E-01	4.28E-01	-3.24E-01
117	8.98E+01	3.53E-01	8.90E-01	3.31E+00	4.99E+01	5.26E-01	2.10E+00	1.14E+00	1.51E+00	1.04E+00	1.26E+00	3.26E+00	-2.98E-01
118	8.01E+01	6.45E+00	1.35E+00	4.25E+00	2.58E+01	1.96E+00	8.41E-01	1.47E+00	4.34E+00	9.65E-01	9.74E-01	2.30E+00	-2.23E-01
119	8.70E+01	5.00E+00	9.64E-01	2.87E+00	4.75E+01	1.47E+00	1.93E+00	8.73E-01	7.76E+00	1.07E+00	1.66E+00	2.04E+00	-8.99E-02
120	9.30E+01	4.54E+00	1.45E+00	8.23E-01	2.21E+01	1.30E+00	1.70E+00	6.73E-01	4.84E+00	1.11E+00	3.11E-01	2.04E+00	-1.33E-01
121	5.53E+01	6.23E+00	1.29E+00	3.69E+00	3.21E+01	1.57E+00	1.08E+00	6.91E-01	4.83E+00	1.01E+00	1.24E+00	7.02E+00	3.03E-01
122	2.63E+01	2.18E+00	1.05E+00	6.62E-01	9.71E+01	6.62E-01	1.03E+00	1.40E+00	9.54E+00	8.89E-01	1.63E+00	1.33E+00	-3.38E-01
123	8.97E+00	6.07E+00	1.38E+00	3.05E+00	3.74E+01	1.09E+00	1.74E+00	1.14E+00	8.41E+00	1.14E+00	1.18E+00	5.98E+00	7.91E-02
124	1.70E+01	7.03E+00	1.31E+00	1.06E+00	2.03E+01	1.37E+00	9.95E-01	5.71E-01	1.74E+00	1.06E+00	7.94E-01	3.17E+00	1.55E-01
125	4.01E+01	3.77E+00	1.24E+00	1.58E+00	3.67E+01	5.89E-01	1.72E-01	1.04E+00	2.75E+00	1.10E+00	1.16E+00	3.49E+00	-5.05E-01
126	4.45E+01	6.87E+00	1.19E+00	3.25E+00	6.04E+01	1.92E+00	1.25E-01	1.19E+00	9.97E+00	9.10E-01	3.09E-01	2.54E+00	-1.50E-01
127	2.58E+01	1.03E+00	8.66E-01	5.94E-01	4.09E+01	1.50E+00	2.47E+00	6.38E-01	4.51E+00	9.00E-01	1.16E+00	1.60E+00	-4.57E-01
128	5.23E+01	4.90E+00	9.59E-01	4.06E+00	4.42E+01	1.72E+00	8.74E-01	1.39E+00	8.19E+00	1.12E+00	9.14E-01	3.13E+00	-2.59E-01
129	7.63E+01	3.87E+00	9.03E-01	3.92E+00	8.10E+01	4.35E-01	3.37E-01	1.35E+00	3.46E+00	1.15E+00	8.98E-01	2.45E+00	-4.41E-01
130	6.46E+01	8.40E-01	1.31E+00	4.73E+00	3.44E+01	7.08E-01	2.01E+00	1.37E+00	3.78E-01	1.12E+00	1.15E+00	3.49E+00	-5.38E-01
131	6.59E+01	6.60E+00	1.07E+00	2.64E+00	7.22E+01	1.71E+00	2.99E+00	9.85E-01	3.96E+00	8.05E-01	5.35E-01	1.52E+00	-4.36E-01
132	2.22E+01	2.53E+00	8.57E-01	3.03E+00	2.19E+01	1.08E+00	2.97E+00	1.37E+00	6.47E+00	1.04E+00	1.38E+00	7.27E+00	-3.72E-01
133	9.54E+01	2.97E+00	1.40E+00	4.92E+00	2.09E+01	1.03E+00	1.51E+00	1.37E+00	4.37E+00	1.12E+00	6.84E-01	1.17E+00	-2.62E-01
134	6.66E+01	1.79E+00	1.26E+00	7.53E-01	2.55E+01	1.77E+00	8.58E-01	9.77E-01	2.38E+00	9.21E-01	2.25E-01	3.33E+00	-5.65E-01
135	8.38E+01	6.66E+00	1.04E+00	2.67E+00	5.35E+01	2.58E-01	1.56E+00	9.89E-01	5.33E+00	9.29E-01	8.74E-01	5.44E+00	-3.19E-01
136	8.34E+01	6.63E+00	1.24E+00	1.69E+00	7.34E+01	1.90E+00	1.40E+00	9.00E-01	2.00E+00	8.23E-01	8.51E-01	3.32E+00	-3.17E-01
137	2.82E+01	1.75E+00	1.12E+00	2.05E+00	4.39E+01	1.90E+00	2.09E+00	7.40E-01	8.49E+00	9.61E-01	2.75E-01	8.23E-01	-3.20E-01
138	9.42E+01	5.13E+00	1.45E+00	1.27E+00	1.66E+00	1.93E+00	2.07E+00	1.35E+00	8.93E+00	1.17E+00	6.71E-01	3.18E+00	1.42E-01
139	5.44E+00	5.78E+00	1.45E+00	3.12E+00	1.27E+01	7.88E-01	1.07E+00	1.46E+00	3.19E+00	1.17E+00	5.06E-01	3.90E-01	-9.29E-03
140	4.00E+01	3.16E+00	1.16E+00	1.81E+00	3.70E+01	1.65E+00	2.40E+00	9.25E-01	6.32E+00	1.05E+00	1.77E-01	5.57E+00	-3.46E-01
141	2.32E+00	2.39E+00	1.31E+00	2.01E+00	2.51E+01	1.89E+00	1.27E+00	6.25E-01	5.91E+00	1.13E+00	4.52E-01	2.16E+00	2.54E-01
142	7.30E+01	5.06E+00	1.46E+00	2.06E+00	1.39E+01	1.50E+00	3.26E+00	1.04E+00	1.91E+00	9.86E-01	1.41E+00	4.10E+00	-4.08E-01
143	3.81E+01	2.37E+00	8.76E-01	4.14E+00	7.35E+01	1.23E+00	3.94E-01	1.49E+00	7.51E+00	8.71E-01	1.88E-01	1.20E+00	-1.31E-01
